시작,시작위도,시작경도,끝,끝위도,끝경도,,,,,,,,,,,,,,,,,,,,
대구수목원,35.807325,128.520712,대곡동,35.804403,128.520272,,,,,,,,,,,,,,,,,,,,
진천역네거리,35.813778,128.522677,진월초남편도로,35.810921,128.527147,,,,,,,,,,,,,,,,,,,,
서부정류장,35.837467,128.556564,성당중학교네거리,35.837119,128.529656,,,,,,,,,,,,,,,,,,,,
백조타운북편,35.841864,128.530771,두리봉네거리,35.839046,128.556511,,,,,,,,,,,,,,,,,,,,
서부정류장,35.839985,128.557427,장동초등주변,35.842877,128.523086,,,,,,,,,,,,,,,,,,,,
금봉네거리,35.841039,128.548768,성당중 뒷편,35.841126,128.544745,,,,,,,,,,,,,,,,,,,,
강창교,35.853094,128.476417,가야기독병원 앞,35.831899,128.550536,,,,,,,,,,,,,,,,,,,,
성당시장네거리,35.851153,128.573469,탑마트앞네거리,35.859688,128.564651,,,,,,,,,,,,,,,,,,,,
아리랑호텔,35.847394,128.566872,두류네거리,35.856989,128.557923,,,,,,,,,,,,,,,,,,,,
달서전화국,35.860143,128.530638,용산1차서한타운,35.839552,128.530541,,,,,,,,,,,,,,,,,,,,
이곡동 1325,35.860519,128.506177,용산동 498-3,35.858611,128.523505,,,,,,,,,,,,,,,,,,,,
학생문화센터 북편,35.852133,128.530265,하나로마트 북편,35.850413,128.530549,,,,,,,,,,,,,,,,,,,,
첨단문화회관,35.843149,128.523788,성서공단로,35.836789,128.524426,,,,,,,,,,,,,,,,,,,,
대곡보금자리주택지구내,35.809596,128.513432,대곡보금자리주택지구내,35.809836,128.513571,,,,,,,,,,,,,,,,,,,,
4차공단진입로,35.835607,128.507644,4차공단진입로,35.836049,128.512172,,,,,,,,,,,,,,,,,,,,
진천동 포스코더샵,35.817453,128.529384,월성동 LG자이,35.820848,128.525918,,,,,,,,,,,,,,,,,,,,
유천동 화성파크드림,35.813813,128.510519,월성푸르지오 주변,35.827698,128.528319,,,,,,,,,,,,,,,,,,,,
장동 833,35.837014,128.518834,장동 833,35.836965,128.518816,,,,,,,,,,,,,,,,,,,,
공고네거리,35.880809,128.614408,K2정문,35.890502,128.645345,,,,,,,,,,,,,,,,,,,,
동구시장삼거리,35.873222,128.639211,파크사우나삼거리,35.882194,128.645047,,,,,,,,,,,,,,,,,,,,
동대구역주차장입구,35.880102,128.628873,효신네거리,35.872005,128.635177,,,,,,,,,,,,,,,,,,,,
공고네거리,35.881255,128.614356,대현육교,35.881794,128.612196,,,,,,,,,,,,,,,,,,,,
대현육교,35.881794,128.612196,복현네거리,35.892363,128.622324,,,,,,,,,,,,,,,,,,,,
복현네거리,35.892363,128.622324,효목네거리,35.8762487,128.6452702,,,,,,,,,,,,,,,,,,,,
파티마삼거리,35.883296,128.623942,MBC네거리,35.866965,128.626776,,,,,,,,,,,,,,,,,,,,
반야월삼거리,35.874271,128.688075,송정삼거리,35.871188,128.733599,,,,,,,,,,,,,,,,,,,,
동호동근린공원네거리,35.865892,128.718153,송정초등학교,35.870679,128.732397,,,,,,,,,,,,,,,,,,,,
마트프라임방촌하나점,35.880636,128.6702802,엔에스시스템폴딩도어,35.887314,128.684975,,,,,,,,,,,,,,,,,,,,
율하소망교회,35.860402,128.689013,롯데마트앞,35.868436,128.691974,,,,,,,,,,,,,,,,,,,,
금호강변로,35.859587,128.700739,반월공예,35.872852,128.702746,,,,,,,,,,,,,,,,,,,,
반야월네거리,35.866022,128.713601,안심교,35.863619,128.714117,,,,,,,,,,,,,,,,,,,,
홈플러스동촌점 옆,35.885865,128.654831,마트프라임방촌하나점,35.887314,128.684975,,,,,,,,,,,,,,,,,,,,
신서화성파크드림주변,35.872745,128.721004,,35.872676,128.723986,,,,,,,,,,,,,,,,,,,,
비어갤러리,35.884637,128.613758,처갓집복어,35.885976,128.625968,,,,,,,,,,,,,,,,,,,,
신성교,35.876008,128.608444,상주양곡매매업소,35.876254,128.615181,,,,,,,,,,,,,,,,,,,,
경부고속도로굴다리,35.880655,128.702894,매여동입구,35.886566,128.707357,,,,,,,,,,,,,,,,,,,,
송호지근린공원,35.891214,128.706951,대구그린파워,35.881375,128.708753,,,,,,,,,,,,,,,,,,,,
캠프워커담장,35.841533,128.590705,명덕네거리,35.8568388,128.590886,,,,,,,,,,,,,,,,,,,,
영대네거리,35.845029,128.59034,성당네거리,35.837637,128.5580099,,,,,,,,,,,,,,,,,,,,
성당네거리,35.837461,128.557404,구달성군청앞,35.8345618,128.5556505,,,,,,,,,,,,,,,,,,,,
안지랑네거리,35.8393888,128.5764071,남대구등기소,35.8421083,128.5725085,,,,,,,,,,,,,,,,,,,,
건들바위네거리,35.855715,128.597749,캠프헨리후문앞,35.8522246,128.5986467,,,,,,,,,,,,,,,,,,,,
삼각지네거리,35.852412,128.582181,성당시장네거리,35.851085,128.573792,,,,,,,,,,,,,,,,,,,,
대봉교,35.8547741,128.6068576,상동교,35.834126,128.605041,,,,,,,,,,,,,,,,,,,,
남명삼거리,35.8357409,128.5795939,관문시장네거리,35.8324713,128.5583026,,,,,,,,,,,,,,,,,,,,
희망교,35.847432,128.605237,봉명네거리,35.847963,128.598716,,,,,,,,,,,,,,,,,,,,
봉덕로,35.845232,128.593137,캠프조지,35.847274,128.593326,,,,,,,,,,,,,,,,,,,,
영선길6,35.8550864,128.5912468,영선길45,35.8546106,128.5915928,,,,,,,,,,,,,,,,,,,,
홈플러스,35.839252,128.569746,홈플러스,35.838446,128.569745,,,,,,,,,,,,,,,,,,,,
비산네거리,35.871824,128.566064,비산네거리,35.872105,128.56287,,,,,,,,,,,,,,,,,,,,
통학로,35.8723104,128.56278,통학로,35.875186,128.563013,,,,,,,,,,,,,,,,,,,,
달서천로,35.88039,128.57983,달서천로,35.88036,128.57942,,,,,,,,,,,,,,,,,,,,
북비산로,35.87839,128.57745,북비산로,35.87897,128.57471,,,,,,,,,,,,,,,,,,,,
염색공단중앙로,35.88545,128.54786,염색공단중앙로,35.88827,128.55324,,,,,,,,,,,,,,,,,,,,
서대구로63길,35.88881,128.55591,서대구로63길,35.88694,128.55691,,,,,,,,,,,,,,,,,,,,
국채보상로,35.87182,128.56243,국채보상로,35.87037,128.55445,,,,,,,,,,,,,,,,,,,,
평리네거리,35.87097,128.55493,평리네거리,35.87081,128.55486,,,,,,,,,,,,,,,,,,,,
평리로,35.86312,128.55375,평리로,35.86359,128.55562,,,,,,,,,,,,,,,,,,,,
서대구로 ,35.86568,128.55574,서대구로 ,35.85823,128.55794,,,,,,,,,,,,,,,,,,,,
큰장로,35.86608,128.57108,큰장로,35.86581,128.57099,,,,,,,,,,,,,,,,,,,,
달성공원로,35.87123,128.57935,달성공원로,35.87295,128.57946,,,,,,,,,,,,,,,,,,,,
비산네거리,35.87164,128.57728,비산네거리,35.872083,128.565875,,,,,,,,,,,,,,,,,,,,
북비산로,35.879,128.57462,북비산로,35.87829,128.57781,,,,,,,,,,,,,,,,,,,,
통학로,35.87594,128.563,통학로,35.87622,128.56302,,,,,,,,,,,,,,,,,,,,
염색공단로,35.88735,128.55673,염색공단로,35.8855,128.54781,,,,,,,,,,,,,,,,,,,,
달구벌대로,35.85467,128.54872,달구벌대로,35.857602,128.5561828,,,,,,,,,,,,,,,,,,,,
서대구로,35.85773,128.5556842,서대구로,35.86294,128.556111,,,,,,,,,,,,,,,,,,,,
평리로,35.86306,128.55356,평리로,35.863381,128.55555,,,,,,,,,,,,,,,,,,,,
백사벌네거리,35.9007377,128.5888895,침산네거리,35.8881837,128.5915562,,,,,,,,,,,,,,,,,,,,
대구광역시 동구 신암동 1181-5,35.8808,128.6115713,대구광역시 북구 대현동 270-2,35.8817313,128.6117069,,,,,,,,,,,,,,,,,,,,
만평네거리,35.889116,128.562259,노원네거리,35.8994877,128.5793904,,,,,,,,,,,,,,,,,,,,
만평네거리,35.889116,128.562259,침산교,35.9009599,128.5926669,,,,,,,,,,,,,,,,,,,,
대구광역시 북구 노원동2가 188-7,35.8910715,128.5737265,노원로,37.6460967,127.0712379,,,,,,,,,,,,,,,,,,,,
노원동주민센터교차로,35.8863782,128.5798906,노원로,37.6460967,127.0712379,,,,,,,,,,,,,,,,,,,,
조야교입구,35.9061008,128.5782766,노원네거리,35.8994877,128.5793904,,,,,,,,,,,,,,,,,,,,
대구광역시 북구 침산3동 430-3,35.8884545,128.5859712,대구광역시 북구 침산3동 400-9,35.8865777,128.5860238,,,,,,,,,,,,,,,,,,,,
영진정문,35.8956224,128.6224266,복현119,35.9000806,128.6216253,,,,,,,,,,,,,,,,,,,,
나이스식자재,35.8881558,128.5884454,침산푸르지오,35.8853125,128.5871875,,,,,,,,,,,,,,,,,,,,
오봉오거리,35.8899055,128.5832792,성북교,35.8929609,128.5930004,,,,,,,,,,,,,,,,,,,,
대구광역시 북구 침산동 486-3번지,35.892068,128.5864918,대구광역시 북구 침산로 205,35.8949464,128.5887872,,,,,,,,,,,,,,,,,,,,
복현오거리,35.8976552,128.6149982,코스트코 대구점,35.906389,128.6181051,,,,,,,,,,,,,,,,,,,,
대구광역시 북구 팔달동 524-4,35.8962882,128.5498706,침산교,35.9009599,128.5926669,,,,,,,,,,,,,,,,,,,,
대구광역시 북구 칠성동 409-93,35.8794149,128.6011691,칠성로,33.5138845,126.5254916,,,,,,,,,,,,,,,,,,,,
대구광역시 북구 산격1동 750-3,35.9002242,128.5961498,산격동 우체국,35.8909057,128.5987499,,,,,,,,,,,,,,,,,,,,
